Date : 2025-08-27 20:00:31
Directory : /workspaces/NeuroNews
Total : 1784 files,  230846 codes, 27474 comments, 53410 blanks, all 311730 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /workspaces/NeuroNews/spark/spark-defaults.conf                                                                                                                        | Properties         |          0 |          0 |          1 |          1 |
| /workspaces/NeuroNews/spark/test_iceberg_setup.sh                                                                                                                      | Shell Script       |        245 |         28 |         66 |        339 |
| /workspaces/NeuroNews/spark/test_spark_sql.sh                                                                                                                          | Shell Script       |          0 |          0 |          1 |          1 |
| /workspaces/NeuroNews/src/__init__.py                                                                                                                                  | Python             |          0 |          3 |          1 |          4 |
| /workspaces/NeuroNews/src/api/__init__.py                                                                                                                              | Python             |          0 |          1 |          1 |          2 |
| /workspaces/NeuroNews/src/api/app.py                                                                                                                                   | Python             |        160 |         31 |         42 |        233 |
| /workspaces/NeuroNews/src/api/auth/api_key_manager.py                                                                                                                  | Python             |        367 |         95 |         78 |        540 |
| /workspaces/NeuroNews/src/api/auth/api_key_middleware.py                                                                                                               | Python             |        100 |         75 |         44 |        219 |
| /workspaces/NeuroNews/src/api/auth/audit_log.py                                                                                                                        | Python             |        115 |         58 |         25 |        198 |
| /workspaces/NeuroNews/src/api/auth/jwt_auth.py                                                                                                                         | Python             |         61 |         64 |         24 |        149 |
| /workspaces/NeuroNews/src/api/auth/permissions.py                                                                                                                      | Python             |         99 |         75 |         35 |        209 |
| /workspaces/NeuroNews/src/api/aws_rate_limiting.py                                                                                                                     | Python             |        329 |         39 |         83 |        451 |
| /workspaces/NeuroNews/src/api/docs/graph_api.md                                                                                                                        | Markdown           |        179 |          0 |         46 |        225 |
| /workspaces/NeuroNews/src/api/event_timeline_service.py                                                                                                                | Python             |        830 |        140 |        142 |      1,112 |
| /workspaces/NeuroNews/src/api/graph/optimized_api.py                                                                                                                   | Python             |        563 |        163 |        121 |        847 |
| /workspaces/NeuroNews/src/api/handler.py                                                                                                                               | Python             |          3 |          0 |          3 |          6 |
| /workspaces/NeuroNews/src/api/logging_config.py                                                                                                                        | Python             |         63 |         24 |         20 |        107 |
| /workspaces/NeuroNews/src/api/middleware/auth_middleware.py                                                                                                            | Python             |         96 |         54 |         26 |        176 |
| /workspaces/NeuroNews/src/api/middleware/rate_limit_middleware.py                                                                                                      | Python             |        435 |         86 |        119 |        640 |
| /workspaces/NeuroNews/src/api/monitoring/suspicious_activity_monitor.py                                                                                                | Python             |        614 |         60 |         99 |        773 |
| /workspaces/NeuroNews/src/api/rbac/rbac_middleware.py                                                                                                                  | Python             |        163 |         50 |         46 |        259 |
| /workspaces/NeuroNews/src/api/rbac/rbac_system.py                                                                                                                      | Python             |        306 |         60 |         78 |        444 |
| /workspaces/NeuroNews/src/api/routes/__init__.py                                                                                                                       | Python             |         40 |          7 |          4 |         51 |
| /workspaces/NeuroNews/src/api/routes/api_key_routes.py                                                                                                                 | Python             |        291 |        129 |         77 |        497 |
| /workspaces/NeuroNews/src/api/routes/article_routes.py                                                                                                                 | Python             |        167 |         75 |         46 |        288 |
| /workspaces/NeuroNews/src/api/routes/auth_routes.py                                                                                                                    | Python             |         92 |         67 |         41 |        200 |
| /workspaces/NeuroNews/src/api/routes/enhanced_graph_routes.py                                                                                                          | Python             |        474 |         99 |         95 |        668 |
| /workspaces/NeuroNews/src/api/routes/enhanced_kg_routes.py                                                                                                             | Python             |        889 |        165 |        188 |      1,242 |
| /workspaces/NeuroNews/src/api/routes/event_routes.py                                                                                                                   | Python             |        423 |        153 |         92 |        668 |
| /workspaces/NeuroNews/src/api/routes/event_timeline_routes.py                                                                                                          | Python             |        686 |         69 |        108 |        863 |
| /workspaces/NeuroNews/src/api/routes/graph_routes.py                                                                                                                   | Python             |        225 |          8 |         32 |        265 |
| /workspaces/NeuroNews/src/api/routes/graph_search_routes.py                                                                                                            | Python             |        317 |         99 |         58 |        474 |
| /workspaces/NeuroNews/src/api/routes/influence_routes.py                                                                                                               | Python             |        256 |         92 |         54 |        402 |
| /workspaces/NeuroNews/src/api/routes/knowledge_graph_routes.py                                                                                                         | Python             |        283 |        108 |         55 |        446 |
| /workspaces/NeuroNews/src/api/routes/news_routes.py                                                                                                                    | Python             |        163 |         30 |         33 |        226 |
| /workspaces/NeuroNews/src/api/routes/quicksight_routes.py                                                                                                              | Python             |          6 |          9 |          4 |         19 |
| /workspaces/NeuroNews/src/api/routes/quicksight_routes_broken.py                                                                                                       | Python             |        331 |         49 |         82 |        462 |
| /workspaces/NeuroNews/src/api/routes/quicksight_routes_temp.py                                                                                                         | Python             |          6 |          9 |          4 |         19 |
| /workspaces/NeuroNews/src/api/routes/rate_limit_routes.py                                                                                                              | Python             |        271 |         96 |         65 |        432 |
| /workspaces/NeuroNews/src/api/routes/rbac_routes.py                                                                                                                    | Python             |        234 |         99 |         63 |        396 |
| /workspaces/NeuroNews/src/api/routes/sentiment_routes.py                                                                                                               | Python             |        237 |         64 |         52 |        353 |
| /workspaces/NeuroNews/src/api/routes/sentiment_trends_routes.py                                                                                                        | Python             |        527 |        117 |         89 |        733 |
| /workspaces/NeuroNews/src/api/routes/summary_routes.py                                                                                                                 | Python             |        424 |        143 |         85 |        652 |
| /workspaces/NeuroNews/src/api/routes/topic_routes.py                                                                                                                   | Python             |        234 |        106 |         39 |        379 |
| /workspaces/NeuroNews/src/api/routes/veracity_routes.py                                                                                                                | Python             |        108 |        203 |         33 |        344 |
| /workspaces/NeuroNews/src/api/routes/veracity_routes_fixed.py                                                                                                          | Python             |        107 |        192 |         33 |        332 |
| /workspaces/NeuroNews/src/api/routes/waf_security_routes.py                                                                                                            | Python             |        460 |        157 |        119 |        736 |
| /workspaces/NeuroNews/src/api/security/aws_waf_manager.py                                                                                                              | Python             |        585 |         65 |         85 |        735 |
| /workspaces/NeuroNews/src/api/security/waf_middleware.py                                                                                                               | Python             |        394 |         95 |         97 |        586 |
| /workspaces/NeuroNews/src/config.py                                                                                                                                    | Python             |         18 |          4 |          4 |         26 |
| /workspaces/NeuroNews/src/dashboards/api_client.py                                                                                                                     | Python             |        269 |         32 |         70 |        371 |
| /workspaces/NeuroNews/src/dashboards/dashboard_config.py                                                                                                               | Python             |         92 |         14 |         14 |        120 |
| /workspaces/NeuroNews/src/dashboards/quicksight_service.py                                                                                                             | Python             |      1,176 |        117 |        116 |      1,409 |
| /workspaces/NeuroNews/src/dashboards/snowflake_dashboard_config.py                                                                                                     | Python             |        329 |         27 |         10 |        366 |
| /workspaces/NeuroNews/src/dashboards/snowflake_streamlit_dashboard.py                                                                                                  | Python             |        380 |        103 |         91 |        574 |
| /workspaces/NeuroNews/src/dashboards/streamlit_dashboard.py                                                                                                            | Python             |        279 |         44 |         68 |        391 |
| /workspaces/NeuroNews/src/dashboards/visualization_components.py                                                                                                       | Python             |        430 |         49 |        105 |        584 |
| /workspaces/NeuroNews/src/database/__init__.py                                                                                                                         | Python             |          0 |          1 |          1 |          2 |
| /workspaces/NeuroNews/src/database/config_dynamodb_metadata.json                                                                                                       | JSON               |         43 |          0 |          1 |         44 |
| /workspaces/NeuroNews/src/database/config_s3.json                                                                                                                      | JSON               |         31 |          0 |          1 |         32 |
| /workspaces/NeuroNews/src/database/data_validation_pipeline.py                                                                                                         | Python             |        575 |        151 |        147 |        873 |
| /workspaces/NeuroNews/src/database/data_validation_pipeline_fixed.py                                                                                                   | Python             |        578 |        152 |        148 |        878 |
| /workspaces/NeuroNews/src/database/dynamodb_metadata_manager.py                                                                                                        | Python             |        855 |        189 |        176 |      1,220 |
| /workspaces/NeuroNews/src/database/dynamodb_pipeline_integration.py                                                                                                    | Python             |        404 |        182 |         89 |        675 |
| /workspaces/NeuroNews/src/database/examples/s3_storage_example.py                                                                                                      | Python             |         46 |         10 |         12 |         68 |
| /workspaces/NeuroNews/src/database/s3_storage.py                                                                                                                       | Python             |        680 |        225 |        158 |      1,063 |
| /workspaces/NeuroNews/src/database/setup.py                                                                                                                            | Python             |        116 |         75 |         31 |        222 |
| /workspaces/NeuroNews/src/database/snowflake_analytics_connector.py                                                                                                    | Python             |        278 |        118 |         29 |        425 |
| /workspaces/NeuroNews/src/database/snowflake_loader.py                                                                                                                 | Python             |        525 |        236 |         80 |        841 |
| /workspaces/NeuroNews/src/database/snowflake_schema.sql                                                                                                                | MS SQL             |        317 |         56 |         55 |        428 |
| /workspaces/NeuroNews/src/ingestion/optimized_pipeline.py                                                                                                              | Python             |        632 |        150 |        159 |        941 |
| /workspaces/NeuroNews/src/ingestion/scrapy_integration.py                                                                                                              | Python             |        364 |        120 |        108 |        592 |
| /workspaces/NeuroNews/src/knowledge_graph/README.md                                                                                                                    | Markdown           |        218 |          0 |        141 |        359 |
| /workspaces/NeuroNews/src/knowledge_graph/__init__.py                                                                                                                  | Python             |          0 |          1 |          1 |          2 |
| /workspaces/NeuroNews/src/knowledge_graph/enhanced_entity_extractor.py                                                                                                 | Python             |        653 |        168 |        125 |        946 |
| /workspaces/NeuroNews/src/knowledge_graph/enhanced_graph_populator.py                                                                                                  | Python             |        686 |        247 |        129 |      1,062 |
| /workspaces/NeuroNews/src/knowledge_graph/examples/build_news_graph.py                                                                                                 | Python             |        171 |         23 |         20 |        214 |
| /workspaces/NeuroNews/src/knowledge_graph/examples/graph_queries.py                                                                                                    | Python             |        113 |          9 |          5 |        127 |
| /workspaces/NeuroNews/src/knowledge_graph/graph_builder.py                                                                                                             | Python             |        179 |         52 |         40 |        271 |
| /workspaces/NeuroNews/src/knowledge_graph/graph_search_service.py                                                                                                      | Python             |        343 |         86 |         74 |        503 |
| /workspaces/NeuroNews/src/knowledge_graph/influence_network_analyzer.py                                                                                                | Python             |        270 |         65 |         27 |        362 |
| /workspaces/NeuroNews/src/knowledge_graph/nlp_populator.py                                                                                                             | Python             |        527 |        136 |        111 |        774 |
| /workspaces/NeuroNews/src/main.py                                                                                                                                      | Python             |        169 |         14 |         28 |        211 |
| /workspaces/NeuroNews/src/ml/__init__.py                                                                                                                               | Python             |          1 |          9 |          2 |         12 |
| /workspaces/NeuroNews/src/ml/fake_news_detection.py                                                                                                                    | Python             |        236 |         69 |         53 |        358 |
| /workspaces/NeuroNews/src/nlp/__init__.py                                                                                                                              | Python             |         13 |          5 |          3 |         21 |
| /workspaces/NeuroNews/src/nlp/ai_summarizer.py                                                                                                                         | Python             |        295 |        180 |         72 |        547 |
| /workspaces/NeuroNews/src/nlp/article_embedder.py                                                                                                                      | Python             |        502 |        189 |        104 |        795 |
| /workspaces/NeuroNews/src/nlp/article_processor.py                                                                                                                     | Python             |        146 |         46 |         25 |        217 |
| /workspaces/NeuroNews/src/nlp/aws_sentiment.py                                                                                                                         | Python             |        164 |         42 |         31 |        237 |
| /workspaces/NeuroNews/src/nlp/event_clusterer.py                                                                                                                       | Python             |        662 |        206 |        149 |      1,017 |
| /workspaces/NeuroNews/src/nlp/fake_news_detector.py                                                                                                                    | Python             |        321 |        132 |         75 |        528 |
| /workspaces/NeuroNews/src/nlp/fake_news_detector_clean.py                                                                                                              | Python             |        108 |         27 |         16 |        151 |
| /workspaces/NeuroNews/src/nlp/keyword_topic_database.py                                                                                                                | Python             |        344 |         33 |         56 |        433 |
| /workspaces/NeuroNews/src/nlp/keyword_topic_extractor.py                                                                                                               | Python             |        823 |        132 |        157 |      1,112 |
| /workspaces/NeuroNews/src/nlp/kubernetes/ai_processor.py                                                                                                               | Python             |        667 |        170 |        127 |        964 |
| /workspaces/NeuroNews/src/nlp/kubernetes/ner_processor.py                                                                                                              | Python             |        448 |         98 |         82 |        628 |
| /workspaces/NeuroNews/src/nlp/kubernetes/sentiment_processor.py                                                                                                        | Python             |        428 |        103 |         81 |        612 |
| /workspaces/NeuroNews/src/nlp/language_processor.py                                                                                                                    | Python             |        566 |        121 |         70 |        757 |
| /workspaces/NeuroNews/src/nlp/metrics.py                                                                                                                               | Python             |         76 |         47 |         15 |        138 |
| /workspaces/NeuroNews/src/nlp/multi_language_processor.py                                                                                                              | Python             |        466 |        202 |         75 |        743 |
| /workspaces/NeuroNews/src/nlp/ner_article_processor.py                                                                                                                 | Python             |        308 |         85 |         50 |        443 |
| /workspaces/NeuroNews/src/nlp/ner_processor.py                                                                                                                         | Python             |        266 |        125 |         60 |        451 |
| /workspaces/NeuroNews/src/nlp/nlp_integration.py                                                                                                                       | Python             |        475 |        123 |        107 |        705 |
| /workspaces/NeuroNews/src/nlp/optimized_nlp_pipeline.py                                                                                                                | Python             |        625 |        134 |        156 |        915 |
| /workspaces/NeuroNews/src/nlp/sentiment_analysis.py                                                                                                                    | Python             |        149 |         26 |         30 |        205 |
| /workspaces/NeuroNews/src/nlp/sentiment_pipeline.py                                                                                                                    | Python             |        332 |         70 |         49 |        451 |
| /workspaces/NeuroNews/src/nlp/sentiment_trend_analyzer.py                                                                                                              | Python             |        680 |        266 |        133 |      1,079 |
| /workspaces/NeuroNews/src/nlp/summary_database.py                                                                                                                      | Python             |        441 |        111 |         93 |        645 |
| /workspaces/NeuroNews/src/scraper.py                                                                                                                                   | Python             |        109 |         43 |         20 |        172 |
| /workspaces/NeuroNews/src/scraper/ASYNC_README.md                                                                                                                      | Markdown           |        350 |          0 |        256 |        606 |
| /workspaces/NeuroNews/src/scraper/README.md                                                                                                                            | Markdown           |        425 |          0 |        309 |        734 |
| /workspaces/NeuroNews/src/scraper/__init__.py                                                                                                                          | Python             |          0 |          3 |          1 |          4 |
| /workspaces/NeuroNews/src/scraper/async_pipelines.py                                                                                                                   | Python             |        430 |         63 |         88 |        581 |
| /workspaces/NeuroNews/src/scraper/async_scraper_engine.py                                                                                                              | Python             |        697 |        142 |        149 |        988 |
| /workspaces/NeuroNews/src/scraper/async_scraper_runner.py                                                                                                              | Python             |        198 |         37 |         53 |        288 |
| /workspaces/NeuroNews/src/scraper/captcha_solver.py                                                                                                                    | Python             |         99 |         11 |         14 |        124 |
| /workspaces/NeuroNews/src/scraper/cloudwatch_logger.py                                                                                                                 | Python             |        320 |         77 |         56 |        453 |
| /workspaces/NeuroNews/src/scraper/config_async.json                                                                                                                    | JSON               |        258 |          0 |          1 |        259 |
| /workspaces/NeuroNews/src/scraper/config_monitoring.json                                                                                                               | JSON               |         63 |          0 |          1 |         64 |
| /workspaces/NeuroNews/src/scraper/config_proxy.json                                                                                                                    | JSON               |         71 |          0 |          1 |         72 |
| /workspaces/NeuroNews/src/scraper/data_validator.py                                                                                                                    | Python             |        305 |         30 |         73 |        408 |
| /workspaces/NeuroNews/src/scraper/dynamodb_failure_manager.py                                                                                                          | Python             |        292 |        110 |         58 |        460 |
| /workspaces/NeuroNews/src/scraper/enhanced_pipelines.py                                                                                                                | Python             |        337 |        185 |         82 |        604 |
| /workspaces/NeuroNews/src/scraper/enhanced_retry_manager.py                                                                                                            | Python             |        367 |         93 |         83 |        543 |
| /workspaces/NeuroNews/src/scraper/extensions/__init__.py                                                                                                               | Python             |          2 |          3 |          3 |          8 |
| /workspaces/NeuroNews/src/scraper/extensions/cloudwatch_logging.py                                                                                                     | Python             |         39 |         35 |         23 |         97 |
| /workspaces/NeuroNews/src/scraper/items.py                                                                                                                             | Python             |         30 |          7 |          8 |         45 |
| /workspaces/NeuroNews/src/scraper/log_utils/__init__.py                                                                                                                | Python             |          2 |          3 |          3 |          8 |
| /workspaces/NeuroNews/src/scraper/log_utils/cloudwatch_handler.py                                                                                                      | Python             |         83 |         54 |         25 |        162 |
| /workspaces/NeuroNews/src/scraper/multi_source_runner.py                                                                                                               | Python             |        135 |         12 |         37 |        184 |
| /workspaces/NeuroNews/src/scraper/performance_monitor.py                                                                                                               | Python             |        373 |         52 |         88 |        513 |
| /workspaces/NeuroNews/src/scraper/pipelines.py                                                                                                                         | Python             |        145 |         37 |         44 |        226 |
| /workspaces/NeuroNews/src/scraper/pipelines/__init__.py                                                                                                                | Python             |         12 |          3 |          3 |         18 |
| /workspaces/NeuroNews/src/scraper/pipelines/enhanced_pipelines.py                                                                                                      | Python             |        120 |         32 |         36 |        188 |
| /workspaces/NeuroNews/src/scraper/pipelines/multi_language_pipeline.py                                                                                                 | Python             |        236 |         96 |         47 |        379 |
| /workspaces/NeuroNews/src/scraper/pipelines/s3_pipeline.py                                                                                                             | Python             |         86 |         15 |         17 |        118 |
| /workspaces/NeuroNews/src/scraper/proxy_manager.py                                                                                                                     | Python             |        266 |         35 |         58 |        359 |
| /workspaces/NeuroNews/src/scraper/run.py                                                                                                                               | Python             |        351 |         56 |         62 |        469 |
| /workspaces/NeuroNews/src/scraper/settings.py                                                                                                                          | Python             |         86 |         27 |         23 |        136 |
| /workspaces/NeuroNews/src/scraper/sns_alert_manager.py                                                                                                                 | Python             |        272 |        111 |         57 |        440 |
| /workspaces/NeuroNews/src/scraper/spiders/__init__.py                                                                                                                  | Python             |          0 |          3 |          1 |          4 |
| /workspaces/NeuroNews/src/scraper/spiders/arstechnica_spider.py                                                                                                        | Python             |         81 |         15 |         21 |        117 |
| /workspaces/NeuroNews/src/scraper/spiders/bbc_spider.py                                                                                                                | Python             |         84 |         20 |         21 |        125 |
| /workspaces/NeuroNews/src/scraper/spiders/cnn_spider.py                                                                                                                | Python             |         92 |         18 |         22 |        132 |
| /workspaces/NeuroNews/src/scraper/spiders/guardian_spider.py                                                                                                           | Python             |         76 |         14 |         20 |        110 |
| /workspaces/NeuroNews/src/scraper/spiders/news_spider.py                                                                                                               | Python             |         89 |         23 |         21 |        133 |
| /workspaces/NeuroNews/src/scraper/spiders/npr_spider.py                                                                                                                | Python             |         79 |         15 |         20 |        114 |
| /workspaces/NeuroNews/src/scraper/spiders/playwright_spider.py                                                                                                         | Python             |        201 |         32 |         38 |        271 |
| /workspaces/NeuroNews/src/scraper/spiders/reuters_spider.py                                                                                                            | Python             |         70 |         14 |         20 |        104 |
| /workspaces/NeuroNews/src/scraper/spiders/techcrunch_spider.py                                                                                                         | Python             |         85 |         17 |         22 |        124 |
| /workspaces/NeuroNews/src/scraper/spiders/theverge_spider.py                                                                                                           | Python             |         71 |         14 |         20 |        105 |
| /workspaces/NeuroNews/src/scraper/spiders/wired_spider.py                                                                                                              | Python             |         72 |         14 |         20 |        106 |
| /workspaces/NeuroNews/src/scraper/tor_manager.py                                                                                                                       | Python             |         55 |         14 |          9 |         78 |
| /workspaces/NeuroNews/src/scraper/user_agent_rotator.py                                                                                                                | Python             |        368 |         46 |         58 |        472 |
| /workspaces/NeuroNews/test_ask_server.py                                                                                                                               | Python             |         21 |          6 |          9 |         36 |
| /workspaces/NeuroNews/test_data/sample.jsonl                                                                                                                           | JSON Lines         |          2 |          0 |          1 |          3 |
| /workspaces/NeuroNews/test_dod_requirements.py                                                                                                                         | Python             |         67 |         18 |         25 |        110 |
| /workspaces/NeuroNews/test_eval_framework.sh                                                                                                                           | Shell Script       |         11 |          3 |          7 |         21 |
| /workspaces/NeuroNews/test_functionality_40.py                                                                                                                         | Python             |         66 |          8 |         15 |         89 |
| /workspaces/NeuroNews/test_hybrid_retrieval_dod.py                                                                                                                     | Python             |        236 |         50 |         74 |        360 |
| /workspaces/NeuroNews/test_hybrid_retrieval_dod_simple.py                                                                                                              | Python             |        208 |         46 |         75 |        329 |
| /workspaces/NeuroNews/test_imports.py                                                                                                                                  | Python             |         36 |          2 |          8 |         46 |
| /workspaces/NeuroNews/test_issue_40.py                                                                                                                                 | Python             |         32 |          5 |         10 |         47 |
| /workspaces/NeuroNews/test_lexical_search_dod.py                                                                                                                       | Python             |         83 |         16 |         24 |        123 |
| /workspaces/NeuroNews/test_mlflow_callbacks.py                                                                                                                         | Python             |        137 |         30 |         41 |        208 |
| /workspaces/NeuroNews/test_mlflow_setup.py                                                                                                                             | Python             |         47 |         18 |         14 |         79 |
| /workspaces/NeuroNews/test_mlflow_setup_direct.py                                                                                                                      | Python             |        208 |         14 |         16 |        238 |
| /workspaces/NeuroNews/test_streamlit_app.py                                                                                                                            | Python             |         88 |         19 |         20 |        127 |
| /workspaces/NeuroNews/tests/__init__.py                                                                                                                                | Python             |          0 |          3 |          1 |          4 |
| /workspaces/NeuroNews/tests/api/test_auth.py                                                                                                                           | Python             |        161 |         36 |         51 |        248 |
| /workspaces/NeuroNews/tests/api/test_cache_and_ratelimit.py                                                                                                            | Python             |         51 |         12 |          4 |         67 |
| /workspaces/NeuroNews/tests/api/test_graph_routes.py                                                                                                                   | Python             |        217 |         16 |         50 |        283 |
| /workspaces/NeuroNews/tests/api/test_news_routes.py                                                                                                                    | Python             |        172 |         17 |         51 |        240 |
| /workspaces/NeuroNews/tests/api/test_rbac.py                                                                                                                           | Python             |        180 |         27 |         43 |        250 |
| /workspaces/NeuroNews/tests/conftest.py                                                                                                                                | Python             |         94 |         40 |         32 |        166 |
| /workspaces/NeuroNews/tests/dags/__init__.py                                                                                                                           | Python             |          0 |          1 |          1 |          2 |
| /workspaces/NeuroNews/tests/dags/test_dag_imports.py                                                                                                                   | Python             |         77 |         50 |         29 |        156 |
| /workspaces/NeuroNews/tests/dags/test_pipeline_units.py                                                                                                                | Python             |        279 |         63 |         89 |        431 |
| /workspaces/NeuroNews/tests/database/test_s3_storage.py                                                                                                                | Python             |        127 |          6 |         46 |        179 |
| /workspaces/NeuroNews/tests/embeddings/__init__.py                                                                                                                     | Python             |          0 |          3 |          1 |          4 |
| /workspaces/NeuroNews/tests/embeddings/test_provider.py                                                                                                                | Python             |        203 |         47 |         79 |        329 |
| /workspaces/NeuroNews/tests/fixtures/tiny_corpus.jsonl                                                                                                                 | JSON Lines         |          5 |          0 |          1 |          6 |
| /workspaces/NeuroNews/tests/integration/test_data_validation_pipeline.py                                                                                               | Python             |        391 |         75 |         12 |        478 |
| /workspaces/NeuroNews/tests/integration/test_dynamodb_metadata.py                                                                                                      | Python             |        541 |        131 |        148 |        820 |
